db_file,total_return,buy_hold_return,sharpe_ratio,trade_count
KRW_1INCH.db,0.0,-0.0014705882352934463,,0
KRW_AAVE.db,0.0,-0.020063694267514753,,0
KRW_ADA.db,0.0,0.010396361273555588,,0
KRW_AERGO.db,-0.00251677852348986,0.011754827875736895,-15.89106969443539,1
KRW_AHT.db,-0.014648741621323791,-0.011878868997827086,-17.930224663824823,5
KRW_AKT.db,0.0,-0.0017108639863130382,,0
KRW_ALGO.db,0.0,0.01366459627329153,,0
KRW_ANKR.db,0.002653918710341374,-0.022753456221198953,6.084354836312505,2
KRW_APT.db,0.0,-0.01703927492447055,,0
KRW_AQT.db,0.0,-0.006211180124223836,,0
KRW_ARB.db,0.0014784946236559016,0.004842615012105478,24.654395064164515,1
KRW_ARDR.db,0.0,-0.039206950323012246,,0
KRW_ARK.db,0.0,0.006580493537013954,,0
KRW_ASTR.db,-0.0016826923076923572,0.011813842482099712,-24.654395064164515,1
KRW_ATH.db,0.0,0.007382169222034829,,0
KRW_ATOM.db,0.0,0.006867488684251466,,0
KRW_AUCTION.db,0.0,0.05211885046273812,,0
KRW_AVAX.db,0.0,-0.00034977264777902306,,0
KRW_AXS.db,0.0,0.003907471084713565,,0
KRW_BAT.db,-0.003920604465114219,-0.027391304347830325,-5.968375184414231,2
KRW_BCH.db,0.0,0.006983531373775609,,0
KRW_BEAM.db,0.0,0.006417736289383358,,0
KRW_BLAST.db,0.0,0.013962765957447498,,0
KRW_BLUR.db,0.0,0.0021598272138250163,,0
KRW_BORA.db,0.0,0.025684931506848807,,0
KRW_BSV.db,0.00016652789342219698,-0.0006655574043251677,24.65439506416451,1
KRW_BTC.db,0.0001933932046465081,0.004398720372255749,14.783961812433187,1
KRW_BTG.db,0.0,0.0009920634920634885,,0
KRW_BTT.db,0.0,0.0039024390243918017,,0
KRW_CBK.db,0.0,-0.0022525693368983246,,0
KRW_CELO.db,0.0017845554834523547,-0.012480000000000824,28.646642438022308,1
KRW_CHZ.db,0.0,0.0024486464426616283,,0
KRW_CRO.db,-0.0016474464579901982,-0.006493506493506773,-6.847923877407596,1
KRW_CTC.db,-0.004066148938022707,-0.01399190829399899,-19.129714982262055,2
KRW_CVC.db,-0.019341105941631964,-0.014354066985648228,-15.552249973101816,2
KRW_DKA.db,0.013585222699620925,-0.057525325615049194,4.886639549813876,6
KRW_DOGE.db,0.0,0.010638297872340496,,0
KRW_DOT.db,0.000665557404326167,0.006324900133153788,9.950755939318524,1
KRW_EGLD.db,0.0024923843810578106,0.00977926795194417,23.41225848204212,1
KRW_ELF.db,0.0,-0.004290244357396111,,0
KRW_ENS.db,0.0,0.007185628742514716,,0
KRW_EOS.db,0.0,-0.0012875536480689842,,0
KRW_ETC.db,-0.0003851978337319206,0.004604758250191132,-11.057616614829499,2
KRW_ETH.db,0.0,0.004964147821288956,0.012691142785658971,1
KRW_FCT2.db,-0.0004520795660037935,-0.006726457399105823,-1.931081539009803,1
KRW_FLOW.db,0.0016469942355199496,0.0043865661411910395,22.685730322353894,1
KRW_G.db,0.0,-0.0061806656101415225,,0
KRW_GAME2.db,0.0,-0.01351922264469807,,0
KRW_GAS.db,0.0,-0.005370328932647328,,0
KRW_GLM.db,0.0,-0.0014471780028939563,,0
KRW_GMT.db,0.0,-0.0020066889632095464,0.011706113468303383,1
KRW_GRS.db,-0.0038957876795713275,-0.006520164211542556,-5.966697947416394,2
KRW_GRT.db,0.0,0.008961518186610284,,0
KRW_HBAR.db,-0.0012559307842591183,0.005830903790087882,-13.429191852514165,2
KRW_HIFI.db,0.0,0.008445945945946054,,0
KRW_HIVE.db,-0.004050222762251976,-0.0060606060606061,-13.576785504874747,1
KRW_HPO.db,-0.005637059675671852,-0.027548209366391574,-15.375514768506193,2
KRW_HUNT.db,0.0,0.0002615062761504028,,0
KRW_ICX.db,0.0,-0.00689259046525148,,0
KRW_ID.db,0.0,0.009718566511439874,,0
KRW_IMX.db,0.0,-0.017056222362601958,,0
KRW_IOST.db,-0.007102144118990905,0.0018737388296323765,-11.721196890112616,2
KRW_IOTA.db,0.0,-0.015435501653803474,,0
KRW_IQ.db,0.0,-0.015540347875677485,,0
KRW_JST.db,0.0,0.01195426195426208,,0
KRW_JUP.db,0.0009699321047527132,0.011605415860735935,5.406841042604736,1
KRW_KAVA.db,0.000694444444444553,0.00868137024871074,16.830884959638652,1
KRW_KNC.db,-0.006875214850464162,0.00541201117318324,-15.778564136657925,2
KRW_LINK.db,0.0,0.0035511363636362425,,0
KRW_LOOM.db,0.0,0.0006208288064579737,,0
KRW_LSK.db,-0.0008650519031141446,0.0017361111111082739,-19.411914637833696,1
KRW_MANA.db,0.0010905125408942062,-0.007904061052058542,17.603959272296546,1
KRW_MASK.db,-0.0010783608914449738,-0.01916124367317462,-2.5513375395861564,1
KRW_MATIC.db,0.0,0.002838389214120829,,0
KRW_MBL.db,0.0,-0.010893854748603826,,0
KRW_MED.db,0.0,-0.0008539709649860727,,0
KRW_META.db,-0.00519031141868509,-0.024362281456004165,-20.710774254304585,1
KRW_MINA.db,0.0,0.006228373702422685,,0
KRW_MLK.db,-0.00033178500331776384,-0.007910349373763337,-15.491933384829666,1
KRW_MNT.db,-0.00011705734914213561,0.00567084942085061,-0.45146084172687745,2
KRW_MOC.db,-0.0006612881893930389,0.011566913248149957,-0.8370227259589745,2
KRW_MTL.db,0.0007961484676175523,-0.003937007874016074,4.342223217599227,2
KRW_MVL.db,0.0,-0.018545721630554235,,0
KRW_NEAR.db,0.0,0.006180694419196442,,0
KRW_NEO.db,0.0,0.0030959752321955136,0.008075730920770312,1
KRW_ONDO.db,0.0,0.012185047501034107,,0
KRW_ONG.db,0.0,0.007439712673165788,,0
KRW_ONT.db,-0.0017421602787456303,0.01871657754010725,-6.427744946790904,1
KRW_ORBS.db,0.0,0.0017286084701815252,,0
KRW_PENDLE.db,0.0,0.0057931034482756605,,0
KRW_POLYX.db,0.0,0.00496277915632648,,0
KRW_POWR.db,0.0007701193685019092,-0.0019215987701746151,2.784923085517125,1
KRW_PUNDIX.db,-0.00018864365214110723,0.01836077985992879,-24.654395064164515,1
KRW_PYTH.db,-0.0013089005235602524,0.006842105263158427,-23.717787202058837,1
KRW_QKC.db,0.0,0.006701414743110812,,0
KRW_QTUM.db,0.0,-0.010614345448697216,,0
KRW_SAND.db,0.0020248770610356015,0.0005777007510112675,21.400560796449632,1
KRW_SBD.db,-0.004455287183857237,-0.02057613168724093,-3.844499969897371,2
KRW_SC.db,0.0,0.004673677182440494,,0
KRW_SEI.db,0.0,0.01725554642563787,,0
KRW_SHIB.db,-0.0005411255411255089,0.008112493239587737,-10.989255496365757,1
KRW_SNT.db,-0.004100464521021974,-0.007184399589461932,-9.40156822316823,2
KRW_SOL.db,0.0,0.011331444759207443,,0
KRW_STEEM.db,-0.0013422818791944957,-0.02223172295852549,-2.642644426266696,1
KRW_STG.db,-0.0038357400722022206,0.013636363636363225,-26.046015069598738,1
KRW_STMX.db,0.0,0.005214958025949068,,0
KRW_STORJ.db,0.0,0.004889975550121717,,0
KRW_STPT.db,-0.0003568242640499264,-0.0017825311942953892,-7.314351811567299,1
KRW_STRAX.db,-0.0004793863854265501,-0.003636363636364326,-3.42162281910357,1
KRW_STRIKE.db,0.0015939185875428752,0.003929273084478879,12.415537398976797,1
KRW_STX.db,0.0,-0.0004854368932039055,,0
KRW_SUI.db,0.0,0.03188662533215347,,0
KRW_SXP.db,-0.0017857142857142794,0.002142857142857668,-15.446031259090628,1
KRW_T.db,0.0,0.014184397163119478,,0
KRW_TAIKO.db,-0.002852485737571353,0.0102965403624391,-21.381600735007236,1
KRW_TFUEL.db,0.0,-0.004177545691906426,,0
KRW_THETA.db,0.0,-0.028307692307694254,,0
KRW_TON.db,-0.005274059555892219,-0.047931713722915936,-16.711289924167396,2
KRW_TRX.db,0.0,-0.0026385224274408925,,0
KRW_TT.db,0.006738544474393482,0.002257336343111982,26.419355038221067,1
KRW_UPP.db,0.0,-0.007196357761783845,,0
KRW_USDT.db,-0.0007168458781362519,-0.002150537634409977,-24.6543950641645,1
KRW_VET.db,0.0,0.004878048780487809,,0
KRW_WAVES.db,-0.0006574621959237748,0.0026333113890726345,-4.515423226024408,1
KRW_WAXP.db,-0.00412749369410681,0.0057484479190617055,-22.171346160016988,1
KRW_XEC.db,0.0,-0.0006952491309384357,,1
KRW_XEM.db,-0.0032119914346895317,0.006117308384311793,-27.53818900456132,1
KRW_XLM.db,0.0,0.011337868480725488,,0
KRW_XRP.db,0.0,0.00533197917988959,,0
KRW_XTZ.db,0.003095975232198178,-0.024340333871836428,12.48178909484573,1
KRW_ZETA.db,0.0,0.014707813525933311,,0
KRW_ZIL.db,0.002739726027397138,0.0032292787943994927,12.78845086946262,1
KRW_ZRO.db,0.0029825308904984915,0.013409961685823868,15.334120116987132,1
KRW_ZRX.db,-1.1102230246251565e-16,-0.0076390546669863335,0.013395378559263392,1
